Date,Weekly_Sales,Week
2010-02-05,11694898.08,5
2010-02-12,11338849.87,6
2010-02-19,11495206.55,7
2010-02-26,10401334.38,8
2010-03-05,11030603.21,9
2010-03-12,10828295.09,10
2010-03-19,10559300.98,11
2010-03-26,10612336.28,12
2010-04-02,12045170.67,13
2010-04-09,11213978.68,14
2010-04-16,10634629.56,15
2010-04-23,10646106.43,16
2010-04-30,10326626.01,17
2010-05-07,11256659.98,18
2010-05-14,10514639.89,19
2010-05-21,10621430.08,20
2010-05-28,11666700.2,21
2010-06-04,11831399.25,22
2010-06-11,11136344.97,23
2010-06-18,11281786.43,24
2010-06-25,11168808.47,25
2010-07-02,11480175.66,26
2010-07-09,11061865.23,27
2010-07-16,10698941.25,28
2010-07-23,10413447.46,29
2010-07-30,10457208.0,30
2010-08-06,11038181.12,31
2010-08-13,10712273.62,32
2010-08-20,10982521.76,33
2010-08-27,10975791.68,34
2010-09-03,10811079.52,35
2010-09-10,9971681.99,36
2010-09-17,9553476.54,37
2010-09-24,9176907.35,38
2010-10-01,9341212.98,39
2010-10-08,10064797.88,40
2010-10-15,9525027.36,41
2010-10-22,9756376.709999999,42
2010-10-29,9977792.18,43
2010-11-05,10216271.81,44
2010-11-12,10577447.84,45
2010-11-19,10363491.89,46
2010-11-26,17045596.27,47
2010-12-03,12288233.17,48
2010-12-10,13674443.38,49
2010-12-17,15764542.4,50
2010-12-24,20827950.13,51
2010-12-31,8985987.23,52
2011-01-07,9072482.96,1
2011-01-14,8626632.87,2
2011-01-21,8814072.73,3
2011-01-28,8766961.14,4
2011-02-04,10019686.03,5
2011-02-11,10734309.02,6
2011-02-18,11124291.95,7
2011-02-25,10112993.89,8
2011-03-04,10570009.92,9
2011-03-11,9883229.99,10
2011-03-18,9968205.98,11
2011-03-25,9673417.28,12
2011-04-01,9794562.21,13
2011-04-08,10211493.62,14
2011-04-15,10172605.62,15
2011-04-22,11144913.39,16
2011-04-29,10066040.06,17
2011-05-06,10519399.5,18
2011-05-13,10168349.34,19
2011-05-20,9986597.73,20
2011-05-27,10477213.43,21
2011-06-03,11254631.55,22
2011-06-10,10685915.83,23
2011-06-17,10742216.9,24
2011-06-24,10490364.22,25
2011-07-01,10738941.77,26
2011-07-08,10288933.69,27
2011-07-15,10116511.32,28
2011-07-22,10130749.47,29
2011-07-29,9799283.46,30
2011-08-05,10496375.94,31
2011-08-12,10273791.18,32
2011-08-19,10498232.89,33
2011-08-26,11139623.64,34
2011-09-02,9867728.94,35
2011-09-09,10104891.14,36
2011-09-16,9354382.06,37
2011-09-23,9374616.73,38
2011-09-30,9340027.21,39
2011-10-07,10229117.79,40
2011-10-14,9666920.39,41
2011-10-21,10318466.03,42
2011-10-28,10568047.84,43
2011-11-04,10777647.16,44
2011-11-11,11119605.1,45
2011-11-18,10450311.11,46
2011-11-25,16880408.8,47
2011-12-02,11810984.15,48
2011-12-09,13252775.9,49
2011-12-16,14787355.89,50
2011-12-23,19274415.02,51
2011-12-30,10664370.08,52
2012-01-06,9350595.69,1
2012-01-13,8830893.98,2
2012-01-20,9102045.15,3
2012-01-27,8532243.99,4
2012-02-03,10097836.76,5
2012-02-10,11293462.07,6
2012-02-17,11324682.08,7
2012-02-24,10418624.28,8
2012-03-02,10600605.06,9
2012-03-09,10491630.82,10
2012-03-16,10374389.37,11
2012-03-23,10266316.78,12
2012-03-30,10141458.78,13
2012-04-06,11945983.25,14
2012-04-13,10363552.59,15
2012-04-20,10143056.54,16
2012-04-27,9719313.71,17
2012-05-04,10379850.77,18
2012-05-11,10349351.54,19
2012-05-18,10391963.08,20
2012-05-25,10898308.93,21
2012-06-01,10853297.87,22
2012-06-08,10966999.74,23
2012-06-15,10845472.36,24
2012-06-22,10892565.97,25
2012-06-29,10522880.38,26
2012-07-06,11154357.17,27
2012-07-13,10192632.6,28
2012-07-20,10280445.62,29
2012-07-27,9831483.64,30
2012-08-03,10494441.52,31
2012-08-10,10403897.66,32
2012-08-17,10578139.07,33
2012-08-24,11073190.94,34
2012-08-31,10760403.53,35
2012-09-07,10389469.93,36
2012-09-14,9544108.66,37
2012-09-21,9720423.99,38
2012-09-28,9801584.18,39
2012-10-05,10436585.09,40
2012-10-12,10208583.45,41
2012-10-19,10057643.14,42
2012-10-26,10386208.11,43
